Index,N1a,N2a,N3a,N4a,N5a,N6a,N7a,N8a,N9a,N10a,N11a,N12a,N13a,N14a,N15a,N16a,N17a,N1b,N2b,N3b,N4b,N5b,N6b,N7b,N8b,N9b,N10b,N11b,N12b,N13b,N14b,N15b,N16b,N17b,Type,Condition
78,8,5,6,5,3,8,8,5,7,10,1,2,6,3,8,8,10,4,10,4,3,6,1,6,8,10,3,4,6,6,6,6,1,6,Slow,Neglect
79,3,1,10,1,10,10,5,6,1,6,10,9,10,2,4,9,8,1,6,6,1,1,2,2,10,3,2,5,5,5,4,7,2,10,Slow,Neglect
80,9,2,8,10,5,7,9,3,9,4,8,5,2,9,2,6,9,9,8,7,2,2,9,10,7,5,6,10,4,3,5,2,4,2,Slow,Neglect
81,7,8,3,7,2,1,6,10,3,5,3,9,8,5,6,10,4,7,4,10,10,7,6,5,3,1,7,6,9,7,9,1,3,1,Slow,Neglect
82,5,6,7,3,8,4,10,8,10,9,7,6,3,6,9,2,7,10,2,2,7,3,10,1,8,6,5,9,6,2,1,10,9,6,Slow,Neglect
83,1,5,2,5,6,8,8,9,5,3,1,2,5,1,9,4,10,3,1,4,9,5,5,6,10,7,4,6,2,8,2,2,8,5,Slow,Neglect
84,4,10,5,8,9,6,7,1,2,8,6,10,1,4,1,5,1,4,5,8,5,8,7,3,5,2,5,2,8,1,7,7,4,8,Slow,Neglect
85,6,3,9,9,1,2,3,3,8,10,9,1,9,8,5,6,3,2,6,5,2,2,2,7,4,8,6,3,10,4,3,8,6,7,Slow,Neglect
86,2,4,6,2,4,3,6,6,7,6,4,4,4,7,6,1,9,1,9,1,4,9,4,2,6,7,10,4,4,9,10,9,9,10,Slow,Neglect
87,10,3,1,6,7,7,3,10,2,3,7,6,10,5,10,8,2,8,7,6,3,1,1,4,9,3,1,9,1,10,7,4,10,2,Slow,Neglect
88,7,5,2,1,3,3,1,4,1,5,10,9,6,9,2,9,5,6,4,4,6,10,10,10,5,10,3,10,3,6,5,1,4,4,Slow,Neglect
89,3,2,7,6,10,1,2,9,10,1,2,8,2,3,3,7,9,2,10,3,1,5,8,6,2,5,8,4,5,2,3,3,2,2,Slow,Neglect
90,8,6,9,10,7,10,6,7,6,8,3,5,7,10,6,6,6,10,5,7,10,9,9,1,6,1,4,1,2,7,2,6,6,1,Slow,Neglect
91,9,8,2,3,4,2,8,1,9,1,7,4,5,8,9,10,2,6,3,9,9,6,5,5,1,4,7,7,7,3,8,5,10,5,Slow,Neglect
92,4,7,10,7,1,5,3,2,3,9,5,10,1,1,7,5,10,8,2,3,7,8,3,6,8,1,9,8,6,5,5,4,8,3,Slow,Neglect
93,2,9,5,2,9,6,10,6,5,5,9,6,9,5,2,4,8,5,8,6,3,2,1,8,7,9,6,6,3,9,9,2,3,4,Slow,Neglect
94,5,3,6,4,3,6,9,5,1,10,3,1,3,6,3,8,1,4,9,8,4,4,4,2,5,7,2,3,4,2,6,3,5,8,Slow,Neglect
95,6,1,1,5,6,5,4,4,4,3,8,3,4,2,8,2,5,9,5,1,2,1,6,10,2,3,10,2,9,3,1,4,7,9,Slow,Neglect
96,9,4,8,7,10,4,8,8,6,4,10,7,10,8,6,1,7,1,10,10,5,6,9,3,4,5,3,4,5,7,3,8,2,5,Slow,Neglect
97,1,8,3,6,5,8,1,6,1,2,4,4,7,6,1,3,9,7,3,2,8,7,8,4,3,6,8,8,10,5,10,6,5,6,Slow,Neglect
98,4,2,7,1,8,10,5,9,8,7,3,9,1,4,10,6,2,3,2,9,10,3,10,1,9,9,7,5,1,6,2,10,4,2,Slow,Neglect
99,3,10,5,5,2,2,3,2,9,5,1,6,5,9,6,9,6,5,9,5,7,10,5,6,10,2,4,1,6,4,8,1,10,1,Slow,Neglect
100,8,5,4,4,4,3,7,10,2,1,8,10,3,5,3,10,3,9,6,3,1,2,3,7,4,3,9,10,2,1,5,9,5,9,Slow,Neglect
1,9,1,5,1,5,10,9,3,3,5,3,6,7,1,3,3,3,3,2,1,8,3,1,1,1,6,3,3,4,3,6,2,3,3,Fast,Neglect
2,7,4,8,8,3,1,8,7,6,7,6,9,10,5,2,6,5,7,5,4,9,5,3,7,8,4,8,7,7,9,3,8,6,2,Fast,Neglect
3,2,8,2,5,8,3,1,8,1,2,7,10,1,3,10,7,9,10,10,8,2,2,7,3,2,1,9,5,6,5,1,3,10,5,Fast,Neglect
4,4,6,3,6,10,5,4,10,2,3,2,3,3,4,5,8,1,2,1,5,5,9,8,10,6,5,10,9,9,2,5,1,8,6,Fast,Neglect
